,Description,ASIN,Product Description,Manufacturer
10,"  MATERIAL - We use Highest Quality of Artificial Leather which is Durable, Long Lasting and tested to ensure they don't peel off in just few months. The leather is also water resistant. Inner fabric lining ensured to have a soft touch feel. We use quality zips and accessories that have a long life.    Waterproof - With this unisex duffle bag, you can be rest assured that none of your belongings will be damaged by rain or accidental splashes. The interiors of this water-resistant travel duffle bag remain free from moisture even if you get caught in an unexpected shower.    Dimensions: 47 x 28 x 27 CM. Volume Capacity - 35 Litres. Huge Spacious Compartment    Design - This stylish yet utilitarian textured leatherette duffle bag can be used for corporate travel as well as to take to the gym. The Large Spacious Compartment is suitable for 3-4 days weekender or business trip, can be used as a carry-on flight bag as well.    Warranty - 100% Genuine Fur Jaden Men Bags, 10 days No Question asked replacement guarantee from the date of delivery. 6 Month Manufacturer and Seller Warranty against Manufacturing Defects   ",B07M9BRCQ5,"From the manufacturer Artificial Leather Material The presence of artificial leather material in this smart duffle bag makes it tough and durable. The fabric is durable and long lasting. Water Resistant Fabric The textured PU Leather Fabric is water resistant in nature which means any small splashes and your items inside the bag will still be safe. However, we recommend you to be careful during heavy rain as the zips are never 100% waterproof and thus extra caution is recommended. Fit-For-All Occasions This stylish backpack has been crafted with a special focus on the looks as well. The visually appealing appearance of the product can fit into any occasion without much adjustment. Spacious Compartment With a huge compartment in this bag, the user can have ample space for storage. The large compartment is suitable for 3 to 4 days weekender or business trip. It can also be used as a carry-on flight bag as well. Zipper Closure The traditional zipper closure remains a constant as well. This can give the user with an easy access to the contents inside during need. The smooth zipper operation adds a sense of convenience into the overall user experience. Ergonomic Grab Handles There are two padded grab handles and a single long strap present in the bag for carrying. The user can use either of the two options as per the convenience. This flexibility is another highlight of the product.",Fur Jaden
11,"  Ease of Access-Multi purpose pockets Super sorted stuff It has a vibrant and stylish design, along with the added benefit of spacious interiors.    Anti - Theft Pocket-Hidden storage pocket for important documents like passports, tickets, cash while on the go.    Integrated Fast charging port-Unique pre-fitted USB port helps you to easily connect your phone or any other device with your power bank. Charging system for smart devices , with free USB (power bank not included )    Care Instructions: Wipe with Dry Cloth    Superior & Durability: Made of durable and Eco-friendly water resistant oxford textile fabric,which keeps your files and stuffs dry inside. This backpack can hold up to 15.6"" laptop from most brands, but it may not be suitable for all brand 15.6"". Since there maybe exist slight size difference among different laptop brands.           ",B09QJ7ZF2Y,"Product Description True Human Emperor anti theft backpack ( LEGEND ) Perfectly designed Bag The bag is aesthetically designed and hand crafted by experts to ensure consistent superior quality and high value for customers . To meet your day to day need, The Laptop Backpack is a lightweight, multi-utility bag . Ease of Access Multi purpose pockets Super sorted stuff It has a vibrant and stylish design, along with the added benefit of spacious interiors. Anti - Theft Pocket Hidden storage pocket for important documents like passports, tickets, cash while on the go. The best in class Anti-Theft This back pack is a stylish and functional accessory for men and women. Can add admiration to an appealing and daring personality with a remarkable aesthetics and functionality. Integrated Fast charging port Unique pre-fitted USB port helps you to easily connect your phone or any other device with your power bank. Charging system for smart devices , with free USB (power bank not included )", LEGEND-1
12,"  Outer Material: Polyester, Color: Sea Blue    Not water resistant. With Rain Cover:No    Capacity: 15 liters; Weight: 200 grams; Dimensions: 12 cms x 27 cms x 41 cms (LxWxH)    Number of compartments: 2; Laptop Compatibility: No    Age Range Description: Kid; Closure Type: Drawstring; Pocket Description: Utility Pocket    Drawstring, 2 Compartments, Compact Size   ",B07Q7CNPMV,"From the manufacturer SAFARI 15L Daypack Be it your short trips or your daily travel across the city , Daypack has got you covered. With a 15 Litre capacity Daypack lets you carry your Wallet, Umbrella, Kerchief, Keys, Earphones, Notepads, Pens and other essentials. The drawstring compartment lets you dump things that you pick up on your way.",Safari Industries (India) Ltd
13,"  Laptop Compatibility: Yes, Laptop Size: 17 inches    Outer Material: Polyester, Color: Black    Weight: 1.20 grams; Dimensions: 53 cms x 32 cms x 27 cms (LxWxH)    Number of compartments: 1; Warranty type: Manufacturer; 18 months    Closure Type: Zipper; Special Features: Back Padding; Pocket Description: Utility Pocket; Age Range Description: Adult   ",B07BZ5VC4H,From the manufacturer,SafariIndustries(India) Ltd
14,"  MADE IN INDIA - This “MAKE IN INDIA” Laptop bag for men features 3 large zippered compartments, 1 zip pocket at front, 2 side bottle pockets. This is a perfect laptop, office, school, college bag for men, women, boys and girls. In deed a perfect all-rounder backpack for men, school bags for boys and girls, College bag for boys and college bag for girls, office bag for men and women.    LAPTOP BAG FEATURES - Compartment Description: Up To 15 Inches; Style Name: Casual Backpack for men. Capacity: 48 liters. Size: 20 inch X 13.5 inch X 9.5 inch.    WATER RESISTANT – This laptop bag for men is stylish and durable unisex travel laptop backpack that is your perfect travel partner. School bags for boys is made of high-grade water-resistant polyester material that gives it strength and durable for long-term use. 12 months warranty for any manufacturing defects.    PADDED LAPTOP SLEEVE AND INTERNAL ORGANISER : Padded Laptop backpack for men has sleeve with holder to secure upto 15.6"" Laptops. This office bag for men is compatible with laptops like HP / Lenovo / Acer / ASUS / Dell. Internal organiser to neatly organise and store your keys, cables, stationary and other valuables from theft.    1 YEAR WARRANTY - We offer 1 Year warranty for any manufacturing defects; BEST BACK SUPPORT - We have designed this laptop bag for men to keep your comfort in mind. Shoulder has 12MM high density padding, with 3D ventilated air foam padding to prevent sweating when you use the bag; Pattern Name: Solid; Age Range Description: Adult; Color Name: Black; Special Features: Laptop Compartment; Pattern Name: Solid; Age Range Description: Adult   ",B08YZ8FFBZ,Product Description,"Hebbal Industrial Area, Mysore"
15,"  Outer Material: Polyester, Color: Black    Water Resistance: Water resistant    Capacity: 30 liters; Dimensions: 50 cms x 34 cms x 18 cms (LxWxH); Number of compartments: 2    Laptop Compatibility: Yes, Laptop Size: 17, Strap Type: Adjustable,    Closure Type: Zipper; Pocket Description: Utility Pocket; Special Features: Laptop Compartment; Age Range Description: Adult; Style Name: Traditional Backpacks   ",B075MK4TXP,From the manufacturer,‎India
16,"  Slim, compact & sturdy: Minimal and compact design for professionals: Joint material design, durable, water-resistant polyester material. The padded shoulder straps, handle, and back panel provides protection and all-day comfort    Smooth zippers that never jam or break    Style meets Function: Minimal & compact design, stores and protects laptops up to 15.6-inches. Ideal for students and professionals looking for a stylish and compact backpack for daily use    Spacious storage with easy organization: Inside, you'll find a laptop sleeve, a tablet pocket, a roomy front workstation, and two side pockets for quick access to your other essentials   ",B08R7RPVJF,From the manufacturer,‎Lenovo
17,"  Outer Material: Polyester, Color: Black and Yellow.Ideal for 3-5 year old children.    Wear Resistant: Wear resistant, Stain resistant, Water Resistance: Water resistant; Dimensions: 49 cms x 33 cms x 10 cms (LxWxH)    Number of compartments: 1; Compatible Laptop Size : 15.4    Warranty Type: Manufacturer; 1 Year from the date of purchase    Pocket Description: Utility Pocket; Color Name: Black And Blue; Age Range Description: Adult; Closure Type: Zipper   ",B019HA8AYG,"From the manufacturer About Us Gear bags are designed for the quick commute as well for the long journey. these backpacks can be used as laptop bags,adventure bags and so on. Your favorite travel companion, The backpacks come with enough storage space to carry all your requirements. A laptop along with your essentials for your daily commute, while packing your belongings to get out and explore the outdoors make Gear backpacks versatile and multi-functional more than ever. Suitable for any challenge life seems to throw at you, these backpack from Gear will help you through it all so make sure to buy a bag.",GearMerchandisePVT LTD
18,  Material: Water Resistant Strong Polyester    Compartments: 2 with padding    Laptop Size: 15.6 inch and below    Dimensions: LxWxH - 11 x 6 x 18 inches    Reflector Logo / Adjustable Padded Shoulder Straps / 2 Bottle holders / Padded Top Handle / Rain Cover   ,B0BPVLXD53,"Product Description About The Item High Quality large and spacious laptop backpack with 2 compartments and 2 front easy-access pockets. One compartment is for carrying laptop inside with padding for safety and space for laptop accessories like charger, etc. Other compartment has organiser for pens, visiting cards, etc along with space for carrying papers, files, etc. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort. It comes with a full sized rain cover. Adjustable Adjustable Padded Shoulder Straps Compartment 2 Large compartment with padding Material Water Resistant Strong Polyester",   ADISA
19,"  30L Capacity: The Backpack has a padded laptop compartment that can fit 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass.    Multi-Level Organizer: The backpack has a front zipper pocket for the ID card, Sanitizer, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band. Spacious second compartment for all your electronics. Compatible Laptop Size 16 inch    Ergonomic Design: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body.    Made In India: Wesley Business Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks    1 Year Warranty: The Wesley Business casual backpack comes with 1 year of warranty    Water Resistant Material: Advanced IPX4 coating on the material ensures resistance to water entering from any direction.   ",B085S444JV,"Product Description Ergonomic Contoured Shape With a slim, sleek and compact design you will love how this backpack can look small even with a spacious storage! Fits Your Laptop Take your gadgets with you anywhere with this backpack, it has got allotted storage space that fits a laptop of upto 15.6 inches. Strong and Lightweight Designed with great quality materials that are waterproof, tough and durable, it is also lightweight and easy to maintain. Padded Back Straps The back straps are padded to give the user maximum support and it made with anti-sweat fabric, giving you the comfort throughout the day. Spacious Storage Featuring 2 compartments, the main compartment and a front compartment to store smaller objects/pens/thin notebooks etc. It also includes a laptop sleeve with a Velcro strap for safety. Back Support It won’t feel uneasy to carry heavy things for a longer time with this bag as it has a cushioned back support that distributes weight evenly between your shoulders and back. A Bag for any weather Be it those stormy rainy season, scorching heat, or freezing winters, this bag can endure as it is crafted, designed and made with quality and tough materials.",‎Wesley
