,Product Name,Cost, Rating,Reviews,Product URL
12,SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB),248,4.0 out of 5 stars,"19,061",www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1685206987&sprefix=ba%2Caps%2C283&sr=8-17
13,Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack,"1,999",4.5 out of 5 stars,"7,049",www.amazon.in/Safari-45L-21-OB-BLK/dp/B07BZ5VC4H/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1685206987&sprefix=ba%2Caps%2C283&sr=8-18
14,Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,899,3.9 out of 5 stars,"9,515",www.amazon.in/Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ8FFBZ/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1685206987&sprefix=ba%2Caps%2C283&sr=8-19
15,Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),"1,099",4.3 out of 5 stars,"5,609",www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1685206987&sprefix=ba%2Caps%2C283&sr=8-20
16,"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",649,4.4 out of 5 stars,"3,063",www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1685206988&sprefix=ba%2Caps%2C283&sr=8-19
17,Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,189,3.7 out of 5 stars,"6,466",www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1685206988&sprefix=ba%2Caps%2C283&sr=8-20
18,ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Grey),599,3.8 out of 5 stars,144,www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVLXD53/ref=sr_1_21?crid=2M096C61O4MLT&keywords=bags&qid=1685206988&sprefix=ba%2Caps%2C283&sr=8-21
19,"Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L, Charcoal black",598,4.3 out of 5 stars,"10,969",www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B085S444JV/ref=sr_1_22?crid=2M096C61O4MLT&keywords=bags&qid=1685206988&sprefix=ba%2Caps%2C283&sr=8-22
20,Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Brown,988,4.4 out of 5 stars,"5,708",www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_23?crid=2M096C61O4MLT&keywords=bags&qid=1685206988&sprefix=ba%2Caps%2C283&sr=8-23
21,"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",799,3.8 out of 5 stars,"2,718",www.amazon.in/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B26VHXV/ref=sr_1_24?crid=2M096C61O4MLT&keywords=bags&qid=1685206988&sprefix=ba%2Caps%2C283&sr=8-24
22,Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley,"1,199",4.0 out of 5 stars,"7,658",www.amazon.in/Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3/ref=sr_1_25?crid=2M096C61O4MLT&keywords=bags&qid=1685206988&sprefix=ba%2Caps%2C283&sr=8-25
23,Lavie Women's Ushawu Satchel Bag | Ladies Purse Handbag,"1,059",4.1 out of 5 stars,"6,423",www.amazon.in/gp/bestsellers/shoes/1983354031/ref=sr_bs_9_1983354031_1
24,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,749,3.9 out of 5 stars,"2,778",www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_29?crid=2M096C61O4MLT&keywords=bags&qid=1685206988&sprefix=ba%2Caps%2C283&sr=8-29
25,Wesley Milestone 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,497,4.3 out of 5 stars,"12,775",www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07PLKV6D1/ref=sr_1_30?crid=2M096C61O4MLT&keywords=bags&qid=1685206988&sprefix=ba%2Caps%2C283&sr=8-30
